aau;kotNo;KotName;intake;standby;applicants;1. prio;grade;
Anvendt filosofi;25405;Anvendt filosofi, Aalborg, Studiestart: sommerstart;69;;171;55; Alle optaget, ledige pladser ;
Art and Technology;25345;Art and Technology, Aalborg, Study start: Summer start;43;;142;52; Alle optaget, ledige pladser ;
Kemi og bioteknologi, diplomingeniør;26525;Bachelor of Science (BSc) in Engineering (Chemical Engineering and Biotechnology), Esbjerg, Study start: Summer start;19;;126;47; Alle optaget, ledige pladser ;
Electronics and Computer Engineering, Esbjerg;26512;Bachelor of Science (BSc) in Engineering (Electronics and Computer Engineering), Esbjerg, Study start: Summer start;24;;143;59; Alle optaget, ledige pladser ;
IT, Communication and New Media;25095;Bachelor of Science (BSc) in Engineering (IT, Communication and New Media), København SV, Study start: Summer start;54;;289;90; Alle optaget, ledige pladser ;
Manufacturing and Operations Engineering;25082;Bachelor of Science (BSc) in Engineering (Manufacturing and Operations Engineering), København SV, Study start: Summer start;29;;150;29; Alle optaget, ledige pladser ;
Robotics;25033;Bachelor of Science (BSc) in Engineering (Robotics), Aalborg, Study start: Summer start;64;;230;86; Alle optaget, ledige pladser ;
Sustainable biotechnology;25072;Bachelor of Science (BSc) in Engineering (Sustainable Biotechnology), København SV, Study start: Summer start;27;;165;53; Alle optaget, ledige pladser ;
Biologi;25305;Biologi, Aalborg, Studiestart: sommerstart;62;;175;50;3,6;Alle optaget, ledige pladser
Dansk;25410;Dansk, Aalborg, Studiestart: sommerstart;56;;154;48; Alle optaget, ledige pladser ;
Datalogi;25306;Datalogi, Aalborg, Studiestart: sommerstart;74;;192;67; Alle optaget, ledige pladser ;
Byggeri og anlæg, diplomingeniør, Esbjerg;26630;Diplomingeniør, byggeri og anlæg, Esbjerg, Studiestart: sommerstart;25;;48;25; Alle optaget, ledige pladser ;
Byggeri og anlæg, diplomingeniør, Aalborg;25240;Diplomingeniør, byggeri og anlæg, Aalborg, Studiestart: sommerstart;33;;97;36; Alle optaget, ledige pladser ;
